INFO 2024-10-11 23:17:27,167 basehttp 502 140580243441216 "GET /static/admin/css/base.css HTTP/1.1" 200 22092
INFO 2024-10-11 23:17:27,175 basehttp 502 140580243441216 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2804
INFO 2024-10-11 23:17:27,186 basehttp 502 140580243441216 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2024-10-11 23:17:27,202 basehttp 502 140580243441216 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2024-10-11 23:17:27,216 basehttp 502 140580243441216 "GET /static/admin/css/forms.css HTTP/1.1" 304 0
INFO 2024-10-11 23:17:27,235 basehttp 502 140580243441216 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2024-10-11 23:17:27,246 basehttp 502 140580243441216 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2024-10-11 23:17:27,261 basehttp 502 140580243441216 "GET /static/admin/js/calendar.js HTTP/1.1" 304 0
INFO 2024-10-11 23:17:27,278 basehttp 502 140580243441216 "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2024-10-11 23:17:27,280 basehttp 502 140580243441216 "GET /static/admin/css/responsive.css HTTP/1.1" 200 17972
INFO 2024-10-11 23:17:27,293 basehttp 502 140580243441216 "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2024-10-11 23:17:27,308 basehttp 502 140580243441216 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
INFO 2024-10-11 23:17:27,323 basehttp 502 140580243441216 "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 304 0
INFO 2024-10-11 23:17:27,339 basehttp 502 140580243441216 "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2024-10-11 23:17:27,355 basehttp 502 140580243441216 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2024-10-11 23:17:27,356 basehttp 502 140580243441216 "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2024-10-11 23:17:27,371 basehttp 502 140580243441216 "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2024-10-11 23:17:27,387 basehttp 502 140580243441216 "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2024-10-11 23:17:27,403 basehttp 502 140580243441216 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2024-10-11 23:17:27,419 basehttp 502 140580243441216 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2024-10-11 23:17:27,436 basehttp 502 140580243441216 "GET /static/admin/css/widgets.css HTTP/1.1" 200 11564
INFO 2024-10-11 23:17:27,461 basehttp 502 140580243441216 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2024-10-11 23:17:27,483 basehttp 502 140580243441216 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2024-10-11 23:17:27,499 basehttp 502 140580243441216 "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 581
INFO 2024-10-11 23:17:27,527 basehttp 502 140580243441216 "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
INFO 2024-10-11 23:17:27,546 basehttp 502 140580243441216 "GET /static/admin/img/icon-clock.svg HTTP/1.1" 200 677
INFO 2024-10-11 23:17:37,608 basehttp 502 140580243441216 "POST /admin/images/prompt/add/ HTTP/1.1" 200 20127
INFO 2024-10-11 23:17:37,647 basehttp 502 140580243441216 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
WARNING 2024-10-11 23:17:37,731 log 502 140580243441216 Not Found: /favicon.ico
INFO 2024-10-11 23:17:40,615 autoreload 502 140580290561856 /mnt/d/proj/multiImageClient/djangoManager/imageMaker/images/models.py changed, reloading.
INFO 2024-10-11 23:17:40,954 autoreload 504 140324848797504 Watching for file changes with StatReloader
INFO 2024-10-11 23:18:42,903 autoreload 504 140324848797504 /mnt/d/proj/multiImageClient/djangoManager/imageMaker/images/models.py changed, reloading.
INFO 2024-10-11 23:18:43,225 autoreload 526 140634833094464 Watching for file changes with StatReloader
INFO 2024-10-11 23:18:45,450 autoreload 526 140634833094464 /mnt/d/proj/multiImageClient/djangoManager/imageMaker/images/models.py changed, reloading.
INFO 2024-10-11 23:18:45,769 autoreload 528 140280958748480 Watching for file changes with StatReloader
INFO 2024-10-11 23:19:07,159 basehttp 528 140280911627840 "POST /admin/images/prompt/add/ HTTP/1.1" 200 18779
INFO 2024-10-11 23:19:07,208 basehttp 528 140280911627840 "GET /static/admin/css/base.css HTTP/1.1" 200 22092
INFO 2024-10-11 23:19:07,224 basehttp 528 140280911627840 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2804
INFO 2024-10-11 23:19:07,240 basehttp 528 140280911627840 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2024-10-11 23:19:07,255 basehttp 528 140280911627840 "GET /static/admin/css/forms.css HTTP/1.1" 200 8794
INFO 2024-10-11 23:19:07,275 basehttp 528 140280911627840 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2024-10-11 23:19:07,286 basehttp 528 140280911627840 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
INFO 2024-10-11 23:19:07,302 basehttp 528 140280911627840 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2024-10-11 23:19:07,317 basehttp 528 140280911627840 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2024-10-11 23:19:07,332 basehttp 528 140280911627840 "GET /static/admin/js/calendar.js HTTP/1.1" 304 0
INFO 2024-10-11 23:19:07,348 basehttp 528 140280911627840 "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2024-10-11 23:19:07,364 basehttp 528 140280911627840 "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 304 0
INFO 2024-10-11 23:19:07,365 basehttp 528 140280911627840 "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2024-10-11 23:19:07,380 basehttp 528 140280911627840 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2024-10-11 23:19:07,395 basehttp 528 140280911627840 "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2024-10-11 23:19:07,410 basehttp 528 140280911627840 "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2024-10-11 23:19:07,426 basehttp 528 140280911627840 "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2024-10-11 23:19:07,443 basehttp 528 140280911627840 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2024-10-11 23:19:07,458 basehttp 528 140280911627840 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2024-10-11 23:19:07,474 basehttp 528 140280911627840 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2024-10-11 23:19:07,489 basehttp 528 140280911627840 "GET /static/admin/js/change_form.js HTTP/1.1" 304 0
INFO 2024-10-11 23:19:07,505 basehttp 528 140280911627840 "GET /static/admin/css/widgets.css HTTP/1.1" 200 11564
INFO 2024-10-11 23:19:07,521 basehttp 528 140280911627840 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2024-10-11 23:19:07,537 basehttp 528 140280911627840 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2024-10-11 23:19:07,552 basehttp 528 140280911627840 "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 581
INFO 2024-10-11 23:19:07,576 basehttp 528 140280911627840 "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
INFO 2024-10-11 23:19:07,598 basehttp 528 140280911627840 "GET /static/admin/img/icon-clock.svg HTTP/1.1" 200 677
INFO 2024-10-11 23:19:36,642 autoreload 528 140280958748480 /mnt/d/proj/multiImageClient/djangoManager/imageMaker/images/models.py changed, reloading.
INFO 2024-10-11 23:19:36,952 autoreload 532 140188071495488 Watching for file changes with StatReloader
INFO 2024-10-11 23:19:43,198 basehttp 532 140188024374848 "POST /admin/images/prompt/add/ HTTP/1.1" 302 0
INFO 2024-10-11 23:19:43,254 basehttp 532 140188024374848 "GET /admin/images/prompt/ HTTP/1.1" 200 15685
INFO 2024-10-11 23:19:43,324 basehttp 532 140188024374848 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2024-10-11 23:19:43,340 basehttp 532 140188024374848 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2024-10-11 23:19:43,359 basehttp 532 140188024374848 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2024-10-11 23:19:43,371 basehttp 532 140188024374848 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2024-10-11 23:19:43,386 basehttp 532 140188024374848 "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2024-10-11 23:19:43,402 basehttp 532 140188024374848 "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2024-10-11 23:19:43,417 basehttp 532 140188024374848 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2024-10-11 23:19:43,433 basehttp 532 140188024374848 "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2024-10-11 23:19:43,449 basehttp 532 140188024374848 "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2024-10-11 23:19:43,464 basehttp 532 140188024374848 "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2024-10-11 23:19:43,479 basehttp 532 140188024374848 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2024-10-11 23:19:43,498 basehttp 532 140188024374848 "GET /static/admin/css/base.css HTTP/1.1" 200 22092
INFO 2024-10-11 23:19:43,512 basehttp 532 140188024374848 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2804
INFO 2024-10-11 23:19:43,526 basehttp 532 140188024374848 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2024-10-11 23:19:43,542 basehttp 532 140188024374848 "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
INFO 2024-10-11 23:19:43,558 basehttp 532 140188024374848 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
